lemma,n,pos,grc,en,ja,fr,usg_ja,usg_en,cdo
ⲡⲣⲟⲁⲭⲱⲣⲏⲧⲟⲥ,1,N,,the Pre-uncontainable (προ-ἀχώρητος),先在の容れえぬ者,le Pré-insaisissable,,,
ⲡⲣⲟⲃⲁⲗⲉ,1,V,Y,"emanate, put forth (προβάλλω)",放出する,émettre (προβάλλω),,,
ⲡⲣⲟⲃⲁⲗⲗⲉ,1,V,,,,,,,
ⲡⲣⲟⲃⲟⲗⲏ,1,N,,"emanation, projection (προβολή)",流出,émanation (προβολή),,,
ⲡⲣⲟⲃⲟⲗⲟⲟⲩⲉ,1,N,Y,"emanations (pl., προβολή)",流出体（複）,émanations (προβολή),,,
ⲡⲣⲟⲃⲟⲗⲟⲩⲉ,1,N,,,,,,,
ⲡⲣⲟⲉⲗⲑⲉ,1,V,Y,come forth (προέρχομαι),出て来る,procéder (προέρχομαι),,,
ⲡⲣⲟⲕⲟⲡⲏ,1,N,Y,,,,,,
ⲡⲣⲟⲗⲉ,1,V,,,,,,,
ⲡⲣⲟⲛⲁⲧⲱⲣ,1,N,,,,,,,
ⲡⲣⲟⲛⲟⲏⲧⲟⲥ,1,N,Y,,,,,,
ⲡⲣⲟⲥⲉⲩⲭⲉ,1,V,Y,,,,,,
ⲡⲣⲟⲥⲉⲩⲭⲏ,1,N,Y,,,,,,
ⲡⲣⲟⲥⲉⲩⲭⲟⲟⲩⲉ,1,N,,,,,,,
ⲡⲣⲟⲥⲫⲟⲣⲁ,1,N,Y,,,,,,
ⲡⲣⲟⲧⲣⲉⲡⲉ,1,V,Y,,,,,,
ⲡⲣⲟⲧⲣⲓⲡⲛⲉⲩⲙⲁⲧⲟⲥ,1,N,,,,,,,
ⲡⲣⲟⲫⲏⲧⲉⲩⲉ,1,V,Y,prophesy (προφητεύω),預言する,prophétiser (προφητεύω),,,
ⲡⲥ,1,N,,,,,,,
ⲡⲥϫⲓⲙⲩⲥⲧⲏⲣⲓⲟⲛ,1,N,,,,,,,
ⲡⲥⲁϩⲣⲉ,1,V,,,,,,,
ⲡⲧⲙ,1,ART,,,,,,,
ⲡⲧⲟⲙ,1,ART,,,,,,,
ⲡⲧⲟⲩ,1,ART,,,,,,,
ⲡⲧⲟⲩⲛⲉⲥ,1,ART,,,,,,,
ⲡⲩⲗⲏ,1,N,Y,gate (πύλη),門,porte (πύλη),,,
ⲡⲱⲓ,1,N,,,,,,,
ⲡⲱⲕ,1,POSS,,,,,,,
ⲡⲱⲗ,1,V,,,,,,,
ⲡⲱⲙⲥ,1,N,,,,,,,
ⲡⲱⲟⲩ,1,N,,,,,,,
ⲡⲱⲧⲁϥ,1,POSS,,,,,,,
ⲣ̅ⲙ̅ⲡⲟ,1,V,,,,,,,
ⲣϣⲁⲕⲉ,1,V,,,,,,,
ⲣϣⲁⲩ,1,V,,,,,,,
ⲣϣⲁⲩⲁⲕϣⲁⲁⲧ,1,V,,,,,,,
ⲣϣⲁⲩⲁⲕⲕⲁⲁ,1,V,,,,,,,
ⲣϣⲁⲩⲙ,1,V,,,,,,,
ⲣϣⲃⲣ‐ⲣⲣⲟ,1,V,,,,,,,
ⲣϣⲙⲙⲟ,1,V,,,,,,,
ⲣϣⲟⲙⲛⲧ,1,V,,,,,,,
ⲣϩⲁⲉⲓⲃⲉⲥ,1,V,,,,,,,
ⲣϩⲁⲓ,1,V,,,,,,,
ⲣϩⲁⲓⲃⲉⲥ,1,V,,,,,,,
ⲣϩⲁⲗ,1,V,,,,,,,
ⲣϩⲃⲁ,1,V,,,,,,,
ⲣϩⲉ,1,V,,,,,,,
ⲣϩⲏⲃⲉ,1,V,,"mourn, grieve",嘆く,se lamenter,,,
ⲣϩⲓⲗⲓⲕⲣⲓⲛⲉⲥ,1,V,,,,,,,
ⲣϩⲟⲓ,1,V,,,,,,,
ⲣϩⲟⲩⲉ,1,V,,"do more, exceed",まさる,surpasser,,,
ⲣϩⲣⲟⲩⲟⲩϫ,1,V,,,,,,,
ⲣϫⲁϫⲉ,1,V,,,,,,,
ⲣϫⲟⲉⲓⲥ,1,V,,,,,,,
ⲣϭⲱⲃ,1,V,,be(come) weak,弱る,être faible,,,
ⲣⲁⲅⲁⲑⲟⲛ,1,V,,,,,,,
ⲣⲁⲅⲁⲑⲟⲥ,1,V,,,,,,,
ⲣⲁⲗⲗⲟⲧⲣⲓⲟⲥ,1,V,,,,,,,
ⲣⲁⲥⲟⲩ,1,N,,,,,,,
ⲣⲁⲥⲧⲉ,1,N,,"tomorrow, morning",明日,demain,,,
ⲣⲁⲧϣⲱⲡⲉ,1,V,,,,,,,
ⲣⲁⲧϭⲟⲙ,1,V,,be powerless,無力である,être impuissant,,,
ⲣⲁⲧⲉ,1,N,,,,,,,
ⲣⲁⲧⲟⲩⲟⲉⲓⲛ,1,V,,,,,,,
ⲣⲁⲧⲟⲩⲟⲓⲛ,1,V,,,,,,,
ⲣⲁⲧⲥⲱⲧⲙ,1,V,,,,,,,
ⲣⲃⲟⲗ,1,V,,,,,,,
ⲣⲃⲣⲣⲉ,1,V,,"renew, become new",新しくなる,renouveler,,,
ⲣⲇⲓⲕⲁⲓⲟⲥ,1,V,,,,,,,
ⲣⲉϥ,1,N,,,,,,,
ⲣⲉϥϣⲓⲛⲉ,1,N,,"seeker, examiner",探求者,chercheur,,,
ⲣⲉϥϣⲟⲟⲣ,1,N,,,,,,,
ⲣⲉϥϩⲱⲧⲃ,1,N,,,,,,,
ⲣⲉϥϫⲉⲟⲩⲁ,1,N,,,,,,,
ⲣⲉϥϫⲉⲡⲉⲧϩⲟⲟⲩ,1,N,,,,,,,
ⲣⲉϥϫⲓ,1,N,,,,,,,
ⲣⲉϥϫⲓⲟⲩⲁ,1,N,,,,,,,
ⲣⲉϥϭⲱⲛⲧ,1,N,,,,,,,
ⲣⲉϥϯ,1,N,,,,,,,
ⲣⲉϥϯϩⲁⲡ,1,N,,,,,,,
ⲣⲉϥⲕⲁ,1,ART,,,,,,,
ⲣⲉϥⲕⲁⲑⲁⲣⲓⲍⲉ,1,N,,,,,,,
ⲣⲉϥⲕⲁⲛⲟⲃⲉ,1,N,,,,,,,
ⲣⲉϥⲕⲁⲟⲩⲛⲟⲩ,1,N,,,,,,,
ⲣⲉϥⲕⲁⲧⲁⲗⲁⲗⲓ,1,N,,,,,,,
ⲣⲉϥⲕⲱ,1,N,,,,,,,
ⲣⲉϥⲙⲟⲟⲩⲧ,1,N,,,,,,,
ⲣⲉϥⲙⲟⲩϩ,1,N,,,,,,,
ⲣⲉϥⲛⲟⲩϩⲙ,1,N,,saviour,救い主,sauveur,,,
ⲣⲉϥⲣ,1,N,,,,,,,
ⲣⲉϥⲥⲁϩⲟⲩ,1,N,,,,,,,
ⲣⲉϥⲥⲱϣ,1,N,,,,,,,
ⲣⲉϥⲥⲱⲧϥ,1,N,,"refiner, purifier",精錬者,raffineur,,,
ⲣⲉϥⲥⲱⲧⲃ,1,N,,,,,,,
ⲣⲉϥⲥⲱⲧⲉ,1,N,,,,,,,
ⲣⲉϥⲧⲁϩⲙⲁ,1,N,,,,,,,
ⲣⲉⲉⲩ,1,N,,,,,,,
ⲣⲉⲓⲛⲉ,1,V,,,,,,,
ⲣⲏ,1,N,,sun,太陽,soleil,,,
ⲣⲏⲥ,1,N,,,,,,,
ⲣⲓⲙⲉ,1,V,,weep,泣く,pleurer,,,
ⲣⲓⲣ,1,N,,,,,,,
ⲣⲕⲁⲕⲉ,1,V,,,,,,,
ⲣⲕⲣⲟϥ,1,V,,,,,,,
ⲣⲗⲁⲁⲩ,1,N,,,,,,,
ⲣⲙⲉⲓⲏ,1,N,,,,,,,
ⲣⲙⲛ,1,ART,,,,,,,
ⲣⲙⲛⲕⲁϩ,1,N,,,,,,,
ⲣⲙⲛⲕⲟⲥⲙⲟⲥ,1,N,,,,,,,
ⲣⲙⲛⲟⲩⲟⲓⲛ,1,N,,,,,,,
ⲣⲙⲛⲧⲣⲉ,1,V,,"bear witness, testify",証しする,témoigner,,,
ⲣⲛⲟⲉⲓⲕ,1,V,,,,,,,
ⲣⲛⲟⲉⲣⲟⲥ,1,V,,,,,,,
ⲣⲟⲓⲥ,1,V,,,,,,,
ⲣⲟⲣⲫⲁⲛⲟⲥ,1,N,,,,,,,
ⲣⲟⲩ,1,V,,,,,,,
ⲣⲟⲩⲏⲣ,1,V,,,,,,,
ⲣⲟⲩⲟⲓⲛ,1,V,,,,,,,
ⲣⲡ,1,V,,,,,,,
ⲣⲡ‐,1,V,,,,,,,
ⲣⲡⲉ,1,N,,temple,神殿,temple,,,
ⲣⲡⲙⲉⲉⲩⲉ,1,N,,,,,,,
ⲣⲣⲙⲛϭⲟⲉⲓⲗⲉ,1,V,,,,,,,
ⲣⲣⲟⲟⲩϣ,1,N,,,,,,,
ⲣⲥⲁⲧⲡⲉ,1,V,,,,,,,
ⲣⲧϩⲉ,1,V,,,,,,,
ⲣⲧϭⲟⲧ,1,V,,,,,,,
ⲣⲧⲛϩ,1,V,,,,,,,
ⲣⲭⲁⲟⲥ,1,V,,,,,,,
ⲣⲭⲏⲣⲁ,1,V,,,,,,,
ⲣⲭⲣⲉⲓⲁ,1,V,,have need (χρεία),必要とする,avoir besoin (χρεία),,,
ⲣⲯⲩⲭⲏ,1,V,,,,,,,
ⲣⲱⲥ,1,N,,,,,,,
ⲣⲱⲭⲁⲣ,1,ADV,,,,,,,
ⲣⲱⲱ,1,N,,,,,,,
ⲥϣⲱⲡⲉ,1,V,,,,,,,
ⲥϩⲁⲓⲥⲟⲩ,1,V,,,,,,,
ⲥϩⲕⲁⲓⲧ,1,N,,,,,,,
ⲥϩⲟⲙⲟⲓⲱⲥⲉ,1,N,,,,,,,
ⲥϩⲩⲡⲛⲉⲩⲉ,1,V,,,,,,,
ⲥϩⲩⲡⲟⲙⲛⲉⲩⲉ,1,V,,,,,,,
ⲥϩⲱϣⲁⲥ,1,N,,,,,,,
ⲥϩⲱϫ,1,V,,,,,,,
ⲥϫⲓ,1,PPER,,,,,,,
ⲥϯⲁⲡⲟⲗⲟⲅⲓⲁ,1,N,,,,,,,
ⲥϯⲙ,1,V,,,,,,,
ⲥϯⲡ,1,PPER,,,,,,,
ⲥⲁϣ,1,N,,,,,,,
ⲥⲁϣϥ,1,NUM,,seven,七,sept,,,
ⲥⲁϣϥⲉ,1,NUM,,,,,,,
ⲥⲁϩⲃⲟⲩⲣ,1,N,,,,,,,
ⲥⲁϩⲣⲉ,1,N,,,,,,,
ⲥⲁⲁⲩ,1,N,,,,,,,
ⲥⲁⲃⲁⲟⲑ,1,V,,,,,,,
ⲥⲁⲃⲁⲱⲑ,1,NPROP,,Sabaoth,サバオート,Sabaôth,,,
ⲥⲁⲃⲟⲗ,1,ADV,,,,,,,
ⲥⲁⲉⲓⲛ,1,N,,,,,,,
ⲥⲁⲓⲛ,1,N,,,,,,,
ⲥⲁⲕⲟⲗⲟⲩⲑⲉⲓ,1,V,,,,,,,
ⲥⲁⲗⲉⲩⲉ,1,V,,,,,,,
ⲥⲁⲙⲁⲣⲓⲧⲏⲥ,1,N,Y,,,,,,
ⲥⲁⲛⲟⲩϣⲧ,1,V,,,,,,,
ⲥⲁⲡ,1,V,,,,,,,
ⲥⲁⲣⲥⲁⲣⲥⲁⲣⲧⲟⲩ,1,FM,,,,,,,
ⲥⲁⲥⲁⲁⲩ,1,N,,,,,,,
ⲥⲁⲧ,1,N,,,,,,,
ⲥⲁⲧⲉⲉⲣⲉ,1,N,Y,,,,,,
ⲥⲃⲟ,1,V,,,,,,,
ⲥⲃⲧⲉ,1,V,,,,,,,
ⲥⲃⲱⲕ,1,N,,,,,,,
ⲥⲇⲟϭⲓⲙⲁⲍⲉ,1,PPER,,,,,,,
ⲥⲉϣⲃⲃⲓⲁⲉⲓⲧ,1,PPER,,,,,,,
ⲥⲉϩⲱϫ,1,V,,,,,,,
ⲥⲉⲁⲁ,1,PPER,,,,,,,
ⲥⲉⲃⲱϣⲗ,1,PPER,,,,,,,
ⲥⲉⲉⲡⲉ,1,N,,"remnant, rest",残り,reste,,,
ⲥⲉⲓ,1,N,,,,,,,
ⲥⲉⲓⲁⲧ,1,N,,,,,,,
ⲥⲉⲓⲉⲥ,1,V,,,,,,,
ⲥⲉⲛⲁ,1,N,,,,,,,
ⲥⲉⲡⲁ,1,V,,,,,,,
ⲥⲉⲣⲉⲛⲇⲩⲙⲁ,1,PPER,,,,,,,
ⲥⲉⲧϥ,1,V,,,,,,,
ⲥⲉⲧⲏ,1,NUM,,,,,,,
ⲥⲏⲩ,1,N,,,,,,,
ⲥⲓϣⲉ,1,N,,,,,,,
ⲥⲓⲛⲱⲥⲓⲥ,1,N,Y,,,,,,
ⲥⲓⲟⲩ,1,N,,,,,,,
ⲥⲓⲧ,1,N,,,,,,,
ⲥⲓⲧⲉⲩⲛ,1,V,,,,,,,
ⲥⲓⲧⲥ,1,V,,,,,,,
ⲥⲓⲱⲛ,1,NPROP,,Zion,シオン,Sion,,,
ⲥⲕⲁⲛⲇⲁⲁⲩⲱ,1,N,,,,,,,
ⲥⲕⲁⲛⲇⲁⲗⲓⲍⲉ,1,V,Y,,,,,,
ⲥⲕⲁⲛⲇⲁⲗⲟⲛ,1,N,Y,,,,,,
ⲥⲕⲁⲛⲇⲁⲗⲟⲥ,1,N,Y,,,,,,
ⲥⲕⲉ,1,N,,,,,,,
ⲥⲕⲉⲡⲁⲍⲉ,1,V,Y,,,,,,
ⲥⲕⲓⲙ,1,V,,,,,,,
ⲥⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ,1,N,,,,,,,
ⲥⲕⲟⲣⲡⲓⲟⲥ,1,N,Y,,,,,,
ⲥⲕⲩⲗⲗⲉ,1,V,,trouble (σκύλλω),悩ます,tourmenter (σκύλλω),,,
ⲥⲕⲩⲗⲗⲉⲓ,1,V,Y,"trouble, distress (σκύλλω)",悩ます,tourmenter (σκύλλω),,,
ⲥⲕⲱⲡⲧⲉ,1,V,,,,,,,
ⲥⲗ,1,N,,,,,,,
ⲥⲗⲁⲁⲧⲉ,1,V,,,,,,,
ⲥⲗⲉⲉⲥ,1,N,,,,,,,
ⲥⲙⲟⲩⲣ,1,NPROP,,,,,,,
ⲥⲙⲡϣⲁ,1,V,,,,,,,
ⲥⲛⲁ,1,N,,,,,,,
ⲥⲛⲟϥ,1,N,,blood,血,sang,,,
ⲥⲟϭ,1,N,,,,,,,
ⲥⲟⲃⲧ,1,N,,,,,,,
ⲥⲟⲗⲟⲙⲱⲛ,1,NPROP,,Solomon,ソロモン,Salomon,,,
ⲥⲟⲗⲥⲗ,1,V,,,,,,,
ⲥⲟⲙⲉⲥⲧ,1,N,,,,,,,
ⲥⲟⲟⲛⲉ,1,N,,,,,,,
ⲥⲟⲟⲧⲉ,1,N,,"redemption, ransom",贖い,rachat,,,
ⲥⲟⲣⲙ,1,N,,go astray; lead astray,迷う,s'égarer,,,
ⲥⲟⲧ,1,N,,,,,,,
ⲥⲟⲧϥ,1,V,,"purify, refine",精錬する,purifier,,,
ⲥⲟⲧⲃ,1,V,,,,,,,
ⲥⲟⲧⲧ,1,V,,,,,,,
ⲥⲟⲩ,1,PPER,,,,,,,
ⲥⲟⲩⲃⲁⲓⲃⲁⲓ,1,FM,,,,,,,
ⲥⲟⲩⲛⲧⲁ,1,N,,,,,,,
ⲥⲟⲩⲛⲫⲟ,1,V,,,,,,,
ⲥⲟⲩⲫⲉⲛ,1,NPROP,,,,,,,
ⲥⲟⲩⲱⲙⲕ,1,V,,,,,,,
ⲥⲟⲩⲱⲛⲓ,1,NPROP,,,,,,,
ⲥⲟⲭⲁⲃⲣⲓⲭⲏⲣ,1,NPROP,,,,,,,
ⲥⲡⲓⲛⲑⲏⲣ,1,N,Y,spark (σπινθήρ),火花,étincelle (σπινθήρ),,,
ⲥⲡⲓⲣ,1,N,,,,,,,
ⲥⲡⲟⲧⲟⲩ,1,N,,lips,唇,lèvres,,,
ⲥⲡⲟⲩⲇⲁⲍⲉ,1,V,Y,,,,,,
ⲥⲡⲟⲩⲇⲁⲥⲧⲏⲥ,1,N,,,,,,,
ⲥⲡⲟⲩⲇⲏ,1,N,Y,,,,,,
ⲥⲣ,1,N,,,,,,,
ⲥⲣϩⲣⲟⲩⲟⲩϫⲉϥ,1,N,,,,,,,
ⲥⲣⲁⲅⲁⲑⲟⲥ,1,N,Y,,,,,,
ⲥⲣⲁⲗⲗⲟⲧⲣⲓⲟⲥ,1,V,,,,,,,
ⲥⲣⲉⲗⲏⲗ,1,V,,,,,,,
ⲥⲧⲁⲁⲧⲉⲛⲧⲉⲣⲉ,1,V,,,,,,,
ⲥⲧⲁⲗⲟⲥ,1,N,,,,,,,
ⲥⲧⲁⲩⲉ,1,V,,,,,,,
ⲥⲧⲁⲩⲣⲟⲩ,1,V,Y,,,,,,
ⲥⲧⲉⲣⲉⲥⲓⲙⲟⲛ,1,N,,,,,,,
ⲥⲧⲏⲣⲓⲍⲉ,1,V,Y,,,,,,
ⲥⲧⲟⲓⲭⲓⲟⲛ,1,N,Y,,,,,,
ⲥⲧⲣⲉⲩ,1,N,,,,,,,
ⲥⲧⲱⲧ,1,V,,,,,,,
ⲥⲩⲅⲅⲉⲛⲏⲥ,1,N,Y,,,,,,
ⲥⲩⲅⲭⲱⲣⲉⲓ,1,V,,,,,,,
ⲥⲩⲅⲭⲱⲣⲓ,1,V,,,,,,,
ⲥⲩⲙⲃⲟⲗⲟⲛ,1,N,Y,"symbol, token (σύμβολον)",しるし,symbole (σύμβολον),,,
ⲥⲩⲙⲫⲱⲛⲓⲁ,1,N,Y,,,,,,
ⲥⲩⲛⲁⲅⲉ,1,V,Y,,,,,,
ⲥⲩⲛⲟⲩⲥⲓⲁ,1,N,Y,,,,,,
ⲥⲩⲛⲧⲉⲗⲉⲓⲁ,1,N,Y,"consummation, end (συντέλεια)",完成・終末,consommation (συντέλεια),,,
ⲥⲫⲁⲓⲣⲁ,1,N,,sphere (σφαῖρα),天球,sphère (σφαῖρα),,,
ⲥⲫⲉⲣⲁ,1,PPER,Y,sphere (σφαῖρα),天球,sphère (σφαῖρα),,,
ⲥⲫⲣⲁⲅⲓⲍⲉ,1,V,Y,seal (σφραγίζω),封印する,sceller (σφραγίζω),,,
ⲥⲫⲣⲁⲅⲓⲥ,1,N,Y,seal (σφραγίς),印,sceau (σφραγίς),,,
ⲥⲫⲣⲁⲍⲓⲍⲉ,1,V,Y,,,,,,
ⲥⲫⲱⲥⲧⲏⲣ,1,N,,,,,,,
ⲥⲭⲏⲙⲁ,1,N,Y,"form, figure (σχῆμα)",姿・形,figure (σχῆμα),,,
ⲥⲱϣ,1,V,,"despise, scorn",蔑む,mépriser,,,
ⲥⲱϣⲙ,1,V,,,,,,,
ⲥⲱϣⲧ,1,V,,,,,,,
ⲥⲱϩⲙ,1,V,,,,,,,
ⲥⲱⲃⲉ,1,V,,"laugh, mock",笑う,rire,,,
ⲥⲱⲗⲡ,1,V,,,,,,,
ⲥⲱⲙⲛⲧ,1,V,,,,,,,
ⲥⲱⲛⲉⲥⲁⲗⲱⲙⲏ,1,N,,,,,,,
ⲥⲱⲡⲉⲛⲁ,1,V,,,,,,,
ⲥⲱⲣ,1,N,,"scatter, spread out",散らす,disperser,,,
ⲥⲱⲧϥ,1,V,,"purify, refine; choice",精錬する,purifier,,,
ⲥⲱⲧⲙⲡⲓⲥⲗ,1,V,,,,,,,
ⲧϩⲏ,1,N,,,,,,,
ⲧϩⲩⲗⲏ,1,N,,,,,,,
ⲧϭⲟⲙ,1,N,,,,,,,
ⲧϭⲟⲣⲥ,1,ART,,,,,,,
ⲧ‐ⲕⲉ‐ⲙⲟⲓⲣⲁ,1,N,,,,,,,
ⲧⲁϣⲟ,1,V,,,,,,,
ⲧⲁϥ,1,N,,,,,,,
ⲧⲁϩⲧϩ,1,N,,,,,,,
ⲧⲁϫⲓⲥ,1,N,,,,,,,
ⲧⲁϫⲟ,1,V,,,,,,,
ⲧⲁϫⲟⲟ,1,V,,"tell, declare",告げる,déclarer,,,
ⲧⲁϭⲥⲉ,1,N,,,,,,,
ⲧⲁⲁⲕ,1,V,,,,,,,
ⲧⲁⲁⲡⲟϩⲣⲟⲓⲁ,1,V,,,,,,,
ⲧⲁⲉⲓ,1,V,,,,,,,
ⲧⲁⲉⲓⲟⲩ,1,NUM,,,,,,,
ⲧⲁⲓⲟ,1,V,,,,,,,
ⲧⲁⲕⲧⲓ,1,V,,,,,,,
ⲧⲁⲗϭⲟ,1,V,,"heal, cure",癒す,guérir,,,
ⲧⲁⲗⲁⲓⲡⲱⲣⲓⲁ,1,N,Y,misery (ταλαιπωρία),苦難,misère (ταλαιπωρία),,,
ⲧⲁⲗⲉ,1,V,,,,,,,
ⲧⲁⲙⲉⲓⲟⲛ,1,N,Y,"storehouse, chamber (ταμεῖον)",蔵・部屋,chambre (ταμεῖον),,,
ⲧⲁⲛϩⲟ,1,V,,"make alive, vivify",生かす,vivifier,,,
ⲧⲁⲛϩⲟⲩⲧ,1,V,,,,,,,
ⲧⲁⲝⲓⲥ,1,N,Y,"order, rank (τάξις)",位階・秩序,"ordre, rang (τάξις)",,,
ⲧⲁⲟⲩⲟ,1,V,,"utter, bring forth",言い出す,proférer,,,
ⲧⲁⲡ,1,V,,,,,,,
ⲧⲁⲡⲟϩⲣⲟⲓⲁ,1,N,,,,,,,
ⲧⲁⲣϫⲓⲉ,1,PPER,,,,,,,
ⲧⲁⲣϫⲓⲉϫⲙⲡ,1,AUX,,,,,,,
ⲧⲁⲣϫⲓⲉϫⲛⲛⲉⲩ,1,AUX,,,,,,,
ⲧⲁⲣϫⲓⲉⲡⲉ,1,V,,,,,,,
ⲧⲁⲣⲉ,1,AUX,,(future conjunctive) so that,～するために,afin que (conjonctif futur),,,
ⲧⲁⲣⲓⲑⲙⲏⲥⲓⲥ,1,N,,,,,,,
ⲧⲁⲣⲟⲩ,1,PPER,,,,,,,
ⲧⲁⲣⲡⲉⲧⲁⲛⲟⲩⲫ,1,NPROP,,,,,,,
ⲧⲁⲥⲁ,1,X,,,,,,,
ⲧⲁⲥⲃⲟⲛ,1,V,,,,,,,
ⲧⲁⲥⲱⲛⲉⲥⲁⲗⲱⲙⲏ,1,PINT,,,,,,,
ⲧⲁⲧⲁϣⲟ,1,V,,,,,,,
ⲧⲁⲧⲁⲁⲩ,1,V,,,,,,,
ⲧⲁⲧⲁⲩⲉ,1,V,,,,,,,
ⲧⲁⲧⲁⲩⲉⲡⲉⲩ,1,X,,,,,,,
ⲧⲁⲩⲉⲡ,1,N,,,,,,,
ⲧⲁⲩⲉⲧ,1,N,,,,,,,
ⲧⲁⲩⲟ,1,V,,"utter, send forth, recite",述べる,proférer,,,
ⲧⲁⲩⲟⲉⲓ,1,V,,,,,,,
ⲧⲁⲩⲣⲟⲥ,1,N,Y,,,,,,
ⲧⲁⲫⲟⲥ,1,N,Y,tomb (τάφος),墓,tombeau (τάφος),,,
ⲧⲁⲭⲩ,1,ADV,Y,,,,,,
ⲧⲃⲁⲣⲃⲏⲗⲟⲥ,1,NUM,,,,,,,
ⲧⲃⲟⲩⲃⲁⲥⲧⲓ,1,V,,,,,,,
ⲧⲉϩⲛⲉ,1,N,,,,,,,
ⲧⲉⲓⲁⲗⲧⲁⲃⲁⲱⲑ,1,PDEM,,,,,,,
ⲧⲉⲕⲁⲡⲟϩⲣⲟⲓⲁ,1,POSS,,,,,,,
ⲧⲉⲗⲉⲓⲟⲛ,1,N,Y,,,,,,
ⲧⲉⲗⲏ,1,V,,,,,,,
ⲧⲉⲗⲓⲟⲛ,1,N,,,,,,,
ⲧⲉⲗⲟⲥ,1,N,Y,,,,,,
ⲧⲉⲛⲓⲟⲩⲟⲓⲛ,1,PPER,,,,,,,
ⲧⲉⲣ,1,V,,,,,,,
ⲧⲉⲣⲁ,1,X,,,,,,,
ⲧⲉⲥ*ⲁⲓⲣⲁ,1,POSS,,,,,,,
ⲧⲉⲥⲏⲡⲥ,1,POSS,,,,,,,
ⲧⲉⲥⲫⲁⲓⲣⲁ,1,N,,,,,,,
ⲧⲉⲧⲃⲁⲣⲃⲏⲗⲱ,1,N,,,,,,,
ⲧⲉⲧⲉⲕ,1,N,,,,,,,
ⲧⲉⲧⲛⲁ,1,X,,,,,,,
ⲧⲉⲧⲛⲁⲣⲁⲧϣⲱⲡⲉ,1,V,,,,,,,
ⲧⲉⲧⲛⲉ,1,PPER,,,,,,,
ⲧⲉⲧⲛⲏⲯⲓⲥ,1,PPER,,,,,,,
ⲧⲉⲩⲏⲡ,1,POSS,,,,,,,
ⲧⲉⲩⲙⲟⲣⲓⲁ,1,POSS,,,,,,,
ⲧⲉⲩⲭⲟⲥ,1,N,Y,,,,,,
ⲧⲉⲭⲛⲏ,1,N,Y,,,,,,
ⲧⲏⲙ,1,VSTAT,,,,,,,
ⲧⲏⲛⲟⲩ,1,N,,,,,,,
ⲧⲏⲡⲥ,1,V,,,,,,,
ⲧⲓϫⲱ,1,V,,,,,,,
ⲧⲓⲙⲏ,1,N,Y,"honour, price (τιμή)",誉れ・値,honneur (τιμή),,,
ⲧⲓⲙⲱⲣⲉⲓ,1,V,Y,punish (τιμωρέω),罰する,punir (τιμωρέω),,,
ⲧⲓⲙⲱⲣⲓ,1,V,,,,,,,
ⲧⲓⲙⲱⲣⲓⲁ,1,N,Y,,,,,,
ⲧⲙⲁϩϯ,1,N,,,,,,,
ⲧⲙⲁⲉⲓⲟ,1,V,,"justify, vindicate",義とする,justifier,,,
ⲧⲙⲉϩϯ,1,V,,,,,,,
ⲧⲙⲉⲉⲧⲉ,1,V,,,,,,,
ⲧⲙⲉⲥⲧⲛ,1,POSS,,,,,,,
ⲧⲙⲛⲧⲙⲁⲓϩⲏⲧ,1,V,,,,,,,
ⲧⲙⲛⲧⲙⲁⲓϩⲟⲩⲟ,1,N,,,,,,,
ⲧⲙⲛⲧⲡⲟⲛⲟⲣⲟⲥ,1,N,,,,,,,
ⲧⲙⲛⲧⲣⲉϥϩⲱⲧ,1,V,,,,,,,
ⲧⲙⲛⲧⲣⲉϥϫⲓⲥⲙⲏ,1,PPER,,,,,,,
ⲧⲙⲛⲧⲣⲉϥⲧⲁϩⲙⲁ,1,N,,,,,,,
ⲧⲙⲛⲧⲣⲙⲙⲁ,1,V,,,,,,,
ⲧⲙⲟⲓⲣⲁϣⲁ,1,NEG,,,,,,,
ⲧⲛϩ,1,N,,wing,翼,aile,,,
ⲧⲛϭⲓ,1,PPER,,,,,,,
ⲧⲛⲁⲩ,1,N,,,,,,,
ⲧⲛⲃⲱⲕ,1,PPER,,,,,,,
ⲧⲛⲉ,1,ART,,,,,,,
ⲧⲛⲉⲓ,1,PPER,,,,,,,
ⲧⲛⲉⲙⲡⲉⲧⲛ,1,PPER,,,,,,,
ⲧⲛⲏⲯⲓⲥ,1,PPER,,,,,,,
ⲧⲛⲛⲟⲟⲩⲥⲟⲩ,1,V,,,,,,,
ⲧⲛⲟⲟⲩ,1,V,,,,,,,
ⲧⲛⲧⲟⲛ,1,PPER,,,,,,,
ⲧⲝⲉ,1,PPER,,,,,,,
ⲧⲟ,1,V,,,,,,,
ⲧⲟⲓ,1,PTC,Y,,,,,,
ⲧⲟⲓⲗⲉ,1,V,,,,,,,
ⲧⲟⲕ,1,N,,,,,,,
ⲧⲟⲕⲙⲉⲕ,1,V,,,,,,,
ⲧⲟⲗⲙⲁ,1,V,Y,,,,,,
ⲧⲟⲛⲱ,1,ADV,,,,,,,
ⲧⲟⲟⲃⲉϥ,1,VSTAT,,,,,,,
ⲧⲟⲟⲧ,1,V,,,,,,,
ⲧⲟⲧ,1,N,,,,,,,
ⲧⲟⲩⲁⲡ,1,FM,,,,,,,
